   	CATEGORY	COMPANY_CODE	CATEGORY_NAME	CATEGORY_NAME_ENG	CATEGORY_NAME_LOC	CODE_LENGTH	UPDATE_YN	CREATE_DATE	CREATE_BY	UPDATE_DATE	UPDATE_BY
61	CI	PLS100	발급구분	CO ISSUE FLAG	발급구분	1	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
62	SS	PLS100	원산지확인서등록상태	SUBMIT STATUS	원산지확인서등록상태	1	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
63	NA	PLS100	국가코드	NATION CODE	국가코드	2	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
64	CE	PLS100	증명서타입	CERTIFIED 	증명서타입	1	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
65	CU	PLS100	거래처타입	CUSTOMER TYPE	거래처타입	1	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
66	MT	PLS100	중간재지정유형	INTERMIDIATE PROD_TYPE	중간재지정유형	1	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
67	PLANT	PLS100	생산공장	PROD PLANT	생산공장	3	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
68	EF	PLS100	내수수출구분	EXPORT FLAG	내수수출구분	1	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
69	IT	PLS100	입력자구분	INPUT TYPE	입력자구분	1	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
70	DT	PLS100	사업부타입	DIVISION TYPE	사업부타입	1	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
71	CS	PLS100	정산상태	CLOSE STATUS	정산상태	1	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
72	AT	PLS100	자산구분	ASSETS TYPE1	자산구분	1	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
73	EX	PLS100	룰 예외 적용	RULE EXCLUSION	룰 예외 적용	1	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
74	AR	PLS100	역내외구분	AREA	역내외구분	1	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
75	ST	PLS100	원산지판정기준	Base of Determine	원산지판정기준	2	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
76	DS	PLS100	판정상태	Determination Status	판정상태	3	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
77	PU	PLS100	사업장 그룹 코드	HQ	사업장 그룹 코드	10	Y	2013-10-28  18:37:01	fta	2013-10-28  18:37:01	fta
