   	YYYYMM	PRODUCT_CODE	ITEM_CODE	PARENT_ITEM_CODE	DIVISION_CODE	COMPANY_CODE	TXN_TYPE	FROM_DIVISION_CODE	HS_CODE	REQ_QTY	INPUT_QTY	TOTAL_INPUT_QTY	INPUT_DATE	COST_EST_ROOT	ETC_CODE	ORG_FROM_DIVISION_CODE	ISLEAF_YN	PARENT_SUBCONTRACTING_TYPE	SUBCONTRACTING_TYPE	ATTRIBUTE01	ATTRIBUTE02	ATTRIBUTE03	ATTRIBUTE04	ATTRIBUTE05	CREATE_DATE	CREATE_BY	UPDATE_DATE	UPDATE_BY
19	202601	4120816AA	7000208AA	4120816AA	PLS101	PLS100	F	PLS101	391733	1.0000000000			20260101		N		Y								2026-02-12  10:06:09	PKG01_IF_LOAD.FTA_BOM_PROC	2026-02-12  10:06:09	PKG01_IF_LOAD.FTA_BOM_PROC
20	202601	4120816AA	7710354AA	4120816AA	PLS101	PLS100	F	PLS101	401693	1.0000000000			20260101		N		Y								2026-02-12  10:06:09	PKG01_IF_LOAD.FTA_BOM_PROC	2026-02-12  10:06:09	PKG01_IF_LOAD.FTA_BOM_PROC
21	202601	4120816AA	7340123AA	4120816AA	PLS101	PLS100	F	PLS101	870899	1.0000000000			20260101		N		Y								2026-02-12  10:06:09	PKG01_IF_LOAD.FTA_BOM_PROC	2026-02-12  10:06:09	PKG01_IF_LOAD.FTA_BOM_PROC
22	202601	4120816AA	7720223AA	4120816AA	PLS101	PLS100	F	PLS101	401699	2.0000000000			20260101		N		Y								2026-02-12  10:06:09	PKG01_IF_LOAD.FTA_BOM_PROC	2026-02-12  10:06:09	PKG01_IF_LOAD.FTA_BOM_PROC
23	202602	4120816AA	7310768AA	4120816AA	PLS101	PLS100	F	PLS101	391740	1.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
24	202602	4120816AA	7540244AA	4120816AA	PLS101	PLS100	F	PLS101	870899	1.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
25	202602	4120816AA	7720223AA	4120816AA	PLS101	PLS100	F	PLS101	401699	2.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
26	202602	4120816AA	7000208AA	4120816AA	PLS101	PLS100	F	PLS101	391733	1.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
27	202602	4120816AA	7340123AA	4120816AA	PLS101	PLS100	F	PLS101	870899	1.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
28	202602	4120816AA	7411165AB	4120816AA	PLS101	PLS100	F	PLS101	848130	1.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
29	202602	4120816AA	7510452AA	4120816AA	PLS101	PLS100	F	PLS101	870899	1.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
30	202602	4120816AA	7622698AA	4120816AA	PLS101	PLS100	F	PLS101	854430	1.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
31	202602	4120816AA	7720373AA	4120816AA	PLS101	PLS100	F	PLS101	400819	1.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
32	202602	4120816AA	7130019AA	4120816AA	PLS101	PLS100	F	PLS101	320417	4.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
33	202602	4120816AA	7320092AA	4120816AA	PLS101	PLS100	F	PLS101	392690	7.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
34	202602	4120816AA	7570214AA	4120816AA	PLS101	PLS100	F	PLS101	870899	3.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
35	202602	4120816AA	7720171AA	4120816AA	PLS101	PLS100	F	PLS101	401699	1.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
36	202602	4120816AA	7110025AA	4120816AA	PLS101	PLS100	F	PLS101	390120	3.9170000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
37	202602	4120816AA	7210199AA	4120816AA	PLS101	PLS100	F	PLS101	392350	1.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
38	202602	4120816AA	7330386AA	4120816AA	PLS101	PLS100	F	PLS101	392690	2.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
39	202602	4120816AA	7720156AA	4120816AA	PLS101	PLS100	F	PLS101	401699	1.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
40	202602	4120816AA	7321445AA	4120816AA	PLS101	PLS100	F	PLS101	870899	3.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
41	202602	4120816AA	7710354AA	4120816AA	PLS101	PLS100	F	PLS101	401693	1.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
42	202602	4120816AA	7730135AA	4120816AA	PLS101	PLS100	F	PLS101	401693	3.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
43	202602	4120816AA	7320091AA	4120816AA	PLS101	PLS100	F	PLS101	392690	6.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
44	202602	4120816AA	7320094AA	4120816AA	PLS101	PLS100	F	PLS101	392690	3.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
45	202602	4120816AA	7130020AA	4120816AA	PLS101	PLS100	F	PLS101	390190	279.0000000000			20260201		N		Y								2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC	2026-03-11  14:35:43	PKG01_IF_LOAD.FTA_BOM_PROC
46	202603	4120816AA	7570214AA	4120816AA	PLS101	PLS100	F	PLS101	870899	3.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
47	202603	4120816AA	7130019AA	4120816AA	PLS101	PLS100	F	PLS101	320417	4.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
48	202603	4120816AA	7210199AA	4120816AA	PLS101	PLS100	F	PLS101	392350	1.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
49	202603	4120816AA	7340123AA	4120816AA	PLS101	PLS100	F	PLS101	870899	1.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
50	202603	4120816AA	7720223AA	4120816AA	PLS101	PLS100	F	PLS101	401699	2.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
51	202603	4120816AA	7110025AA	4120816AA	PLS101	PLS100	F	PLS101	390120	3.9170000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
52	202603	4120816AA	7310768AA	4120816AA	PLS101	PLS100	F	PLS101	391740	1.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
53	202603	4120816AA	7330386AA	4120816AA	PLS101	PLS100	F	PLS101	392690	2.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
54	202603	4120816AA	7540244AA	4120816AA	PLS101	PLS100	F	PLS101	870899	1.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
55	202603	4120816AA	7720156AA	4120816AA	PLS101	PLS100	F	PLS101	401699	1.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
56	202603	4120816AA	7622698AA	4120816AA	PLS101	PLS100	F	PLS101	854430	1.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
57	202603	4120816AA	7720171AA	4120816AA	PLS101	PLS100	F	PLS101	401699	1.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
58	202603	4120816AA	7000208AA	4120816AA	PLS101	PLS100	F	PLS101	391733	1.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
59	202603	4120816AA	7411165AB	4120816AA	PLS101	PLS100	F	PLS101	848130	1.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
60	202603	4120816AA	7720373AA	4120816AA	PLS101	PLS100	F	PLS101	400819	1.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
61	202603	4120816AA	7320092AA	4120816AA	PLS101	PLS100	F	PLS101	392690	7.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
62	202603	4120816AA	7320094AA	4120816AA	PLS101	PLS100	F	PLS101	392690	3.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
63	202603	4120816AA	7510452AA	4120816AA	PLS101	PLS100	F	PLS101	870899	1.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
