   	YYYYMM	ITEM_CODE	DIVISION_CODE	COMPANY_CODE	INITIAL_QTY	INITIAL_AMOUNT	INPUT_QTY	INPUT_AMOUNT	EXTRA_INPUT_QTY	EXTRA_INPUT_AMOUNT	OBTAIN_INPUT_QTY	OBTAIN_INPUT_AMOUNT	ISSUE_QTY	ISSUE_AMOUNT	EXTRA_ISSUE_QTY	EXTRA_ISSUE_AMOUNT	INVENTORY_QTY	INVENTORY_AMOUNT	INTG_INTERFACE_TRANS_ID	AGING_PERIOD	ATTRIBUTE01	ATTRIBUTE02	ATTRIBUTE03	ATTRIBUTE04	ATTRIBUTE05	CREATE_DATE	CREATE_BY	UPDATE_DATE	UPDATE_BY
1	202601	7000208AA	PLS101	PLS100	0.000000000000000	0.000000000000000	800.000000000000000	1703200.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	800.000000000000000	1703200.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000		1						2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC	2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC
2	202601	7000259AA	PLS101	PLS100	0.000000000000000	0.000000000000000	4400.000000000000000	14520000.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	4400.000000000000000	14520000.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000		1						2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC	2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC
3	202601	7000260AA	PLS101	PLS100	0.000000000000000	0.000000000000000	1600.000000000000000	3760000.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1600.000000000000000	3760000.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000		1						2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC	2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC
4	202601	7000261AA	PLS101	PLS100	0.000000000000000	0.000000000000000	2800.000000000000000	7000000.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2800.000000000000000	7000000.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000		1						2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC	2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC
5	202601	7000262AA	PLS101	PLS100	0.000000000000000	0.000000000000000	1400.000000000000000	3936800.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1400.000000000000000	3936800.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000		1						2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC	2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC
6	202601	7000263AA	PLS101	PLS100	0.000000000000000	0.000000000000000	1000.000000000000000	2804000.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1000.000000000000000	2804000.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000		1						2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC	2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC
7	202601	7000264AA	PLS101	PLS100	0.000000000000000	0.000000000000000	5200.000000000000000	23405200.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	5200.000000000000000	23405200.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000		1						2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC	2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC
8	202601	7000266AA	PLS101	PLS100	0.000000000000000	0.000000000000000	500.000000000000000	21399000.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	500.000000000000000	21399000.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000		1						2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC	2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC
9	202601	7000267AA	PLS101	PLS100	0.000000000000000	0.000000000000000	5400.000000000000000	231109200.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	5400.000000000000000	231109200.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000		1						2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC	2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC
10	202601	7000281AA	PLS101	PLS100	0.000000000000000	0.000000000000000	1000.000000000000000	3153000.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1000.000000000000000	3153000.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000		1						2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC	2026-02-12  9:57:33	PKG01_IF_LOAD.MATERIAL_INV_BAL_PROC
